032,112025,2991471,1,16958607
032,112025,2991471,2,30117289
032,112025,2991477,1,30117289
032,112025,2991477,2,16955274
032,112025,2991483,1,2991485
032,112025,2991483,2,16925527
032,112025,2991489,1,2991491
032,112025,2991489,2,16998878
032,112025,2991495,1,16998878
032,112025,2991495,2,2991498
032,112025,2991501,1,2991498
032,112025,2991501,2,2991503
032,112025,2991507,1,2991503
032,112025,2991507,2,16847418
032,112025,2991513,1,16847418
032,112025,2991513,2,4074979
032,112025,2991519,1,16875698
032,112025,2991519,2,17037193
032,112025,2991525,1,17037193
032,112025,2991525,2,45204219
032,112025,2991531,1,45204219
032,112025,2991531,2,17117820
032,112025,2991537,1,17117820
032,112025,2991537,2,3215606
032,112025,2991543,1,3215606
032,112025,2991543,2,31118139
032,112025,2991549,1,31118139
032,112025,2991549,2,4075123
032,112025,2991555,1,2991557
032,112025,2991555,2,2991558
032,112025,2991567,1,16921141
032,112025,2991567,2,17117881
032,112025,2991573,1,17117881
032,112025,2991573,2,16924922
032,112025,2991579,1,16924922
032,112025,2991579,2,17091983
032,112025,2991585,1,23846848
032,112025,2991585,2,2991588
032,112025,2991591,1,3215478
032,112025,2991591,2,2991594
032,112025,2991597,1,2991594
032,112025,2991597,2,34781744
032,112025,2991603,1,34781744
032,112025,2991603,2,16944406
032,112025,2991609,1,16944406
032,112025,2991609,2,17071142
032,112025,2991615,1,17071142
032,112025,2991615,2,16839200
032,112025,2991621,1,2991588
032,112025,2991621,2,16839200
032,112025,2991627,1,17111588
032,112025,2991627,2,2991630
032,112025,2991633,1,17111588
032,112025,2991633,2,2991636
032,112025,2991639,1,2991636
032,112025,2991639,2,3216682
032,112025,2991645,1,3216678
032,112025,2991645,2,2991648
032,112025,2991651,1,2991648
032,112025,2991651,2,2991654
032,112025,2991657,1,2991654
032,112025,2991657,2,2991660
032,112025,2991663,1,2991660
032,112025,2991663,2,3216674
032,112025,2991669,1,2991630
032,112025,2991669,2,3216674
032,112025,2991675,1,2991630
032,112025,2991675,2,16842777
032,112025,2991741,1,2991743
032,112025,2991741,2,2991744
032,112025,2991747,1,16949249
032,112025,2991747,2,17069495
032,112025,2991753,1,17117820
032,112025,2991753,2,16903637
032,112025,2991759,1,2991557
032,112025,2991759,2,17027186
032,112025,2991765,1,17027186
032,112025,2991765,2,30093817
032,112025,2991771,1,30093817
032,112025,2991771,2,17098561
032,112025,2991777,1,2991779
032,112025,2991777,2,16796714
032,112025,2991783,1,16796714
032,112025,2991783,2,3215890
032,112025,2991789,1,25536423
032,112025,2991789,2,2991792
032,112025,2991795,1,2991792
032,112025,2991795,2,2991797
032,112025,2991801,1,23846848
032,112025,2991801,2,2991804
032,112025,2991807,1,2991797
032,112025,2991807,2,2991804
032,112025,2991813,1,16839200
032,112025,2991813,2,2991815
032,112025,2991819,1,2991815
032,112025,2991819,2,2991822
032,112025,2991957,1,2991959
032,112025,2991957,2,16774368
032,112025,2991963,1,2991959
032,112025,2991963,2,2991966
032,112025,2991969,1,2991971
032,112025,2991969,2,2991972
032,112025,2991975,1,2991977
032,112025,2991975,2,2991978
032,112025,2991981,1,2991977
032,112025,2991981,2,2991984
032,112025,2991987,1,2991984
032,112025,2991987,2,2991990
032,112025,2991993,1,2991971
032,112025,2991993,2,16953876
032,112025,2991999,1,16953876
032,112025,2991999,2,2992001
032,112025,2992005,1,2992001
032,112025,2992005,2,45214692
032,112025,2992011,1,16998317
032,112025,2992011,2,17118072
032,112025,2992023,1,2992020
032,112025,2992023,2,16908902
032,112025,2992029,1,2992031
032,112025,2992029,2,2992032
032,112025,2992035,1,16964755
032,112025,2992035,2,2992038
032,112025,2992041,1,2992032
032,112025,2992041,2,2992038
032,112025,2992047,1,17118072
032,112025,2992047,2,2992049
032,112025,2992053,1,2992049
032,112025,2992053,2,2992056
032,112025,2992059,1,2992061
032,112025,2992059,2,32252193
032,112025,2992065,1,2992067
032,112025,2992065,2,19240224
032,112025,2992071,1,40075627
032,112025,2992071,2,2992074
032,112025,2992077,1,32252193
032,112025,2992077,2,40075627
032,112025,2992083,1,32252193
032,112025,2992083,2,17069831
032,112025,2992089,1,2992091
032,112025,2992089,2,16849535
