032,112025,100001,8409,1,1,1,181651,01/05/1999,AQ1BA1
032,112025,100003,8409,1,1,1,166408,01/05/1999,AQ1BA1
032,112025,100005,7404,4,1,1,166410,01/05/1999,AQ1BA1
032,112025,100006,8409,1,1,1,166411,01/05/1999,AQ1BA1
032,112025,100007,8409,1,1,1,166412,01/05/1999,AQ1BA1
032,112025,100008,8409,1,1,1,166413,01/05/1999,AQ1BA1
032,112025,100009,8409,1,1,1,166414,01/05/1999,AQ1BA1
032,112025,100011,8409,1,1,1,166416,01/05/1999,AQ1BA1
032,112025,100012,8409,1,1,1,181652,01/05/1999,AQ1BA1
032,112025,100013,8409,1,1,1,166418,01/05/1999,AQ1BA1
032,112025,100014,8409,1,1,1,166419,01/05/1999,AQ1BA1
032,112025,100015,8409,1,1,1,181653,01/05/1999,AQ1BA1
032,112025,100017,8409,1,1,1,166422,01/05/1999,AQ1BA1
032,112025,100018,8409,1,1,1,166423,01/05/1999,AQ1BA1
032,112025,100019,8409,1,1,1,166424,01/05/1999,AQ1BA1
032,112025,100020,8409,1,1,1,181654,01/05/1999,AQ1BA1
032,112025,100021,8409,1,1,1,181655,01/05/1999,AQ1BA1
032,112025,100022,8409,1,1,1,166427,01/05/1999,AQ1BA1
032,112025,100023,8409,1,1,1,181656,01/05/1999,AQ1BA1
032,112025,100024,8409,1,1,1,181657,01/05/1999,AQ1BA1
032,112025,100026,8409,1,1,1,166430,01/05/1999,AQ1BA1
032,112025,100028,8409,1,1,1,166431,01/05/1999,AQ1BA1
032,112025,100029,8409,1,1,1,166432,01/05/1999,AQ1BA1
032,112025,100031,8409,1,1,1,181658,01/05/1999,AQ1BA1
032,112025,100032,8409,1,1,1,181659,01/05/1999,AQ1BA1
032,112025,100033,8409,1,1,1,181660,01/05/1999,AQ1BA1
032,112025,100034,8409,1,1,1,166437,01/05/1999,AQ1BA1
032,112025,100035,8409,1,1,1,181661,01/05/1999,AQ1BA1
032,112025,100036,8409,1,1,1,166439,01/05/1999,AQ1BA1
032,112025,100037,8409,1,1,1,181662,01/05/1999,AQ1BA1
032,112025,100038,8409,1,1,1,166441,01/05/1999,AQ1BA1
032,112025,100039,8409,1,1,1,181663,01/05/1999,AQ1BA1
032,112025,100041,8409,1,1,1,166444,01/05/1999,AQ1BA1
032,112025,100042,8409,1,1,1,166445,01/05/1999,AQ1BA1
032,112025,100043,8409,1,1,1,181665,01/05/1999,AQ1BA1
032,112025,100044,8409,1,1,1,181666,01/05/1999,AQ1BA1
032,112025,100045,8409,1,1,1,181667,01/05/1999,AQ1BA1
032,112025,100046,8409,1,1,1,166449,01/05/1999,AQ1BA1
032,112025,100047,8409,1,1,1,166450,01/05/1999,AQ1BA1
032,112025,100048,8409,1,1,1,166451,01/05/1999,AQ1BA1
032,112025,100050,8409,1,1,1,166452,01/05/1999,AQ1BA1
032,112025,100051,8409,1,1,1,166453,01/05/1999,AQ1BA1
032,112025,100053,8409,1,1,1,181668,01/05/1999,AQ1BA1
032,112025,100055,8409,1,1,1,181669,01/05/1999,AQ1BA1
032,112025,100056,8409,1,1,1,166457,01/05/1999,AQ1BA1
032,112025,100057,8409,1,1,1,166458,01/05/1999,AQ1BA1
032,112025,100062,8409,1,1,1,166463,01/05/1999,AQ1BA1
032,112025,100064,8409,1,1,1,166464,01/05/1999,AQ1BA1
032,112025,100065,8409,1,1,1,166465,01/05/1999,AQ1BA1
032,112025,100068,8409,1,1,1,166468,01/05/1999,AQ1BA1
032,112025,100069,8409,1,1,1,166469,01/05/1999,AQ1BA1
032,112025,100070,8409,1,1,1,166470,01/05/1999,AQ1BA1
032,112025,100072,8409,1,1,1,184658,01/05/1999,AQ1BA1
032,112025,100074,8409,1,1,1,166473,01/05/1999,AQ1BA1
032,112025,100076,8409,1,1,1,166475,01/05/1999,AQ1BA1
032,112025,100077,8409,1,1,1,166476,01/05/1999,166476
032,112025,100078,8409,1,1,1,166479,01/05/1999,AQ1BA1
032,112025,100079,8409,1,1,1,181670,01/05/1999,AQ1BA1
032,112025,100080,8409,1,1,1,166481,01/05/1999,AQ1BA1
032,112025,100081,8409,4,1,1,166482,01/05/1999,AQ1BA1
032,112025,100082,8409,1,1,1,166483,01/05/1999,AQ1BA1
032,112025,100084,8409,1,1,1,181649,01/05/1999,AQ1BA1
032,112025,100086,8409,1,1,1,166486,01/05/1999,AQ1BA1
032,112025,100087,8409,1,1,1,166487,01/05/1999,AQ1BA1
032,112025,100088,8409,4,1,1,166488,01/05/1999,AQ1BA1
032,112025,100090,8409,1,1,1,166490,01/05/1999,AQ1BA1
032,112025,100091,8409,4,1,1,166491,01/05/1999,AQ1BA1
032,112025,100092,8409,1,1,1,166492,01/05/1999,AQ1BA1
032,112025,100093,8409,1,1,1,166493,01/05/1999,AQ1BA1
032,112025,100094,8409,1,1,1,166494,01/05/1999,AQ1BA1
