032,112025,1322758,3,032307202510010005,0.00,70.00,0,76,9,0.00,0
032,112025,1322811,1,032307202510010003,0.00,17250.00,0,8787,650,0.00,0
032,112025,1323218,5,032307202510010006,0.00,3.00,0,6,1,0.00,0
032,112025,1323327,2,032307202510010008,0.00,3.00,0,5,1,0.00,0
032,112025,1323374,3,032307202510020009,0.00,20.00,0,15,3,0.00,0
032,112025,1323393,4,032307202510020003,0.00,25.00,0,2,1,0.00,0
032,112025,1323411,4,032307202510020005,0.00,45.00,0,44,1,0.00,0
032,112025,1323429,6,032307202510020007,0.00,426.00,0,23,12,0.00,0
032,112025,1323724,5,032307202510020011,0.00,16.00,0,5,3,0.00,0
032,112025,1323904,1,032307202510020010,0.00,653.00,0,197,19,0.00,0
032,112025,1323937,1,032307202510030001,0.00,360.00,0,58,6,0.00,0
032,112025,1323944,5,032307202510030002,0.00,376.00,0,279,102,0.00,0
032,112025,1324051,1,032307202510030006,0.00,64.00,0,84,8,0.00,0
032,112025,1324150,5,032307202510030013,0.00,13.00,0,3,2,0.00,0
032,112025,1324201,1,032307202510030015,0.00,30.00,0,50,3,0.00,0
032,112025,1324386,3,032307202510040012,0.00,4388.00,0,2127,139,0.00,0
032,112025,1324395,1,032307202510040004,0.00,191.00,0,128,10,0.00,0
032,112025,1324488,5,032307202510040001,0.00,25.00,0,51,1,0.00,0
032,112025,1324531,1,032307202510040006,0.00,236.00,0,93,14,0.00,0
032,112025,1324618,2,032307202510040009,0.00,1816.00,0,388,48,0.00,0
032,112025,1324744,1,032307202510040013,0.00,1429.00,0,588,29,0.00,0
032,112025,1324796,2,032307202510040014,0.00,25.00,0,42,1,0.00,0
032,112025,1324821,6,032307202510050001,0.00,5.00,0,2,1,0.00,0
032,112025,1324870,1,032307202510050002,0.00,150.00,0,6,1,0.00,0
032,112025,1324901,1,032307202510050005,0.00,16.00,0,40,3,0.00,0
032,112025,1324917,4,032307202510050004,0.00,40.00,0,58,3,0.00,0
032,112025,1324918,5,032307202510050007,0.00,10.00,0,19,1,0.00,0
032,112025,1324947,1,032307202510050008,0.00,25.00,0,33,1,0.00,0
032,112025,1324958,1,032307202510050006,0.00,563.00,0,498,20,0.00,0
032,112025,1325697,1,032307202510060008,0.00,30.00,0,21,2,0.00,0
032,112025,1325889,1,032307202510070003,0.00,293.00,0,28,11,0.00,0
032,112025,1325962,6,032307202510070013,0.00,8.00,0,10,2,0.00,0
032,112025,1326043,4,032307202510070016,0.00,33.00,0,14,3,0.00,0
032,112025,1326253,2,032307202510070014,0.00,150.00,0,125,1,0.00,0
032,112025,1326274,3,032307202510070015,0.00,2.00,0,5,1,0.00,0
032,112025,1326297,1,032307202510080001,0.00,1176.00,0,399,82,0.00,0
032,112025,1326511,1,032307202510080009,0.00,5.00,0,5,1,0.00,0
032,112025,1326860,3,032307202510090003,0.00,314.00,0,37,5,0.00,0
032,112025,1327348,5,032307202510100003,0.00,15.00,0,5,1,0.00,0
032,112025,1327415,5,032307202510100004,0.00,5.00,0,3,1,0.00,0
032,112025,1327453,3,032307202510110006,0.00,4446.00,0,2230,145,0.00,0
032,112025,1327469,4,032307202510110001,0.00,864.00,0,310,24,0.00,0
032,112025,1327484,3,032307202510110005,0.00,1534.00,0,729,81,0.00,0
