032,112025,1322811,1217,78700794,2,2856,7405,,,1,1,75.00,09/10/2012
032,112025,1322811,1308,11967419,2,104,7404,,,1,1,100.00,31/12/1999
032,112025,1322811,1385,78701160,2,3000,7404,,,1,1,75.00,09/10/2012
032,112025,1322811,1386,11967086,2,2931,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1494,78701762,2,3097,7404,,,1,1,75.00,09/10/2012
032,112025,1322811,1506,78701952,2,3092,7403,,,1,1,75.00,09/10/2012
032,112025,1322811,1526,78701983,2,3117,7405,,,1,1,30.00,09/10/2012
032,112025,1322811,1604,78702078,2,3146,7405,,,1,1,30.00,23/01/2013
032,112025,1322811,1647,78559315,2,3256,7404,,,1,1,100.00,12/12/2013
032,112025,1322811,1655,11968361,2,3216,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1656,11968370,2,3212,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1687,78702319,2,3238,7404,,,1,1,30.00,14/03/2014
032,112025,1322811,91228,11954324,2,110,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,93763,20182043,2,3572,7404,,,1,1,10.00,18/07/2017
032,112025,1322811,93926,22139876,2,3613,7404,,,1,1,30.00,29/11/2017
032,112025,1322811,94039,19211510,2,3604,7404,,,1,1,10.00,06/10/2017
032,112025,1322811,94274,26051932,2,3658,7405,,,1,1,30.00,26/03/2018
032,112025,1322811,94299,26275844,2,3619,7404,,,1,1,100.00,16/02/2018
032,112025,1322811,96597,37297735,2,3706,7404,,,1,1,25.00,28/06/2018
032,112025,1322811,97197,49724597,2,3808,7404,,,1,1,15.00,22/04/2018
032,112025,1322811,97199,49724911,2,3807,7404,,,1,1,25.00,22/04/2018
032,112025,1322811,97443,57479559,2,3847,7405,,,1,1,25.00,14/06/2019
032,112025,1322811,97746,62082986,2,3904,7404,,,1,1,25.00,26/08/2019
032,112025,1322811,98207,69683039,2,4001,7404,,,1,1,10.00,01/01/2019
032,112025,1322811,98735,85171500,2,4083,7403,,,1,1,5.00,31/05/2020
032,112025,1322811,100227,108337693,2,4322,7405,,,1,1,150.00,31/12/2021
032,112025,1322811,100621,107942642,2,4258,7404,,,1,1,25.00,12/11/2021
032,112025,1322811,100664,109651440,2,4397,7404,,,1,1,500.00,25/07/2022
032,112025,1322811,100741,109846244,2,4408,7404,,,1,1,25.00,14/09/2022
032,112025,1322811,100852,110422042,2,4381,7404,,,1,1,25.00,10/08/2022
032,112025,1322811,100947,110590216,2,4453,7404,,,1,1,75.00,21/12/2022
032,112025,1322811,101611,111144152,2,4555,7405,,,1,1,25.00,31/12/2022
032,112025,1322811,103248,112987244,2,1437,7404,,,1,1,25.00,31/12/2023
032,112025,1322811,103695,113686403,2,907,7405,,,1,1,30.00,04/01/2025
032,112025,1322811,103697,113682047,2,1424,7404,,,1,1,15.00,25/03/2025
032,112025,1322811,103702,113726167,2,3134,7405,,,1,1,25.00,03/01/2025
032,112025,1322811,104012,114396997,2,1160,7404,,,1,1,15.00,31/12/2024
032,112025,1322811,1000004,11949560,2,3,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1000005,11949563,2,4,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1000014,11949572,2,14,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000059,11949677,2,70,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000070,11949692,2,83,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000073,11949701,2,87,7404,,,1,1,25.00,31/12/1999
032,112025,1322811,1000093,11949731,2,111,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1000248,11950025,2,305,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1000271,11950064,2,333,7404,,,1,1,45.00,31/12/1999
032,112025,1322811,1000282,11950082,2,349,7405,,,1,1,25.00,31/12/1999
032,112025,1322811,1000374,11950256,2,255,7405,,,1,1,50.00,31/12/1999
032,112025,1322811,1000469,11950400,2,573,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1000542,11950505,2,656,16303,,,1,1,3.00,31/12/1999
032,112025,1322811,1000575,11950580,2,696,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1000550,11950526,2,667,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1000587,11950607,2,708,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000588,11950610,2,709,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1000829,11951063,2,979,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1000894,11951213,2,1060,7405,,,1,1,10.00,31/12/1999
032,112025,1322811,1000969,11951363,2,1140,7404,,,1,1,150.00,01/04/1981
032,112025,1322811,1000993,11951414,2,1166,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1001040,11951510,2,1215,7404,,,1,1,25.00,31/12/1999
032,112025,1322811,1001098,11965742,2,909,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1001106,11960999,2,2773,7404,,,1,1,25.00,31/12/1999
032,112025,1322811,1001112,11965739,2,761,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1001078,11951594,2,1261,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,1001125,11965769,2,903,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1001126,11951699,2,1316,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1001173,11965886,2,2826,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1001212,11951885,2,1419,7404,,,1,1,15.00,31/12/1999
032,112025,1322811,1001235,11966147,2,2897,7404,,,1,1,25.00,31/12/1999
032,112025,1322811,1001253,11951960,2,1465,7405,,,1,1,25.00,01/04/1996
032,112025,1322811,1001275,11966483,2,2846,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1001374,11952197,2,1606,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1001411,11952281,2,1647,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,1001586,11952638,2,1836,7405,,,1,1,45.00,01/05/1998
032,112025,1322811,1001590,11952641,2,1841,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1001814,11953076,2,2212,7404,,,1,1,30.00,31/12/1999
032,112025,1322811,1001816,11953079,2,2218,7404,,,1,1,45.00,01/02/2001
032,112025,1322811,1001963,11953313,2,2307,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1001998,11953352,2,1415,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1002002,11953358,2,5091,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1002004,11953361,2,1017,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,1002071,11953427,2,5058,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1002084,11953436,2,5067,7405,,,1,1,10.00,31/12/1999
032,112025,1322811,1002280,11953616,2,2442,7404,,,1,1,15.00,31/12/1999
032,112025,1322811,1002282,11953619,2,2444,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1002320,11953646,2,2482,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1002563,11953769,2,2563,7403,,,1,1,5.00,31/12/1999
032,112025,1322811,1012640,11954009,2,2640,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1012653,11954030,2,2653,7404,,,1,1,150.00,31/12/1999
032,112025,1322811,1016783,11954258,2,2601,7405,,,1,1,30.00,01/01/2004
032,112025,1322811,1016786,11954264,2,367,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1016808,11969408,2,5054,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,2000652,11954573,2,780,7404,,,1,1,2.00,31/12/1999
032,112025,1322811,2000995,11954699,2,1168,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,2001195,11954753,2,1396,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,2001320,11954798,2,1545,7404,,,1,1,15.00,31/12/1999
032,112025,1322811,2001418,11954831,2,1654,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,2001885,11955041,2,500,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,2001990,11955122,2,1053,7405,,,1,1,30.00,31/12/1999
032,112025,1322811,2001996,11955125,2,81,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,2001953,11955101,2,1987,7404,,,1,1,50.00,31/12/1999
032,112025,1322811,2002063,11955188,2,5051,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,2002135,11955266,2,8,7404,,,1,1,150.00,31/12/1999
032,112025,1322811,2002291,11955356,2,2453,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,2002281,11955344,2,2443,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,2002860,11955404,2,2348,7403,,,1,1,2.00,31/12/1999
032,112025,1322811,2002134,11955263,2,1050,7404,,,1,1,15.00,31/12/1999
032,112025,1322811,2016669,11955476,2,2436,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,2016717,11955521,2,1039,7405,,,1,1,10.00,01/03/2003
032,112025,1322811,3000009,11955581,2,7,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,4001362,11955878,2,781,7404,,,1,1,2.00,31/12/1999
032,112025,1322811,4001366,11955890,2,920,7405,,,1,1,2.00,31/12/1999
032,112025,1322811,4001395,11955965,2,2461,7404,,,1,1,10.00,01/07/2003
032,112025,1322811,4001399,11955977,2,772,7405,,,1,1,10.00,31/12/1999
032,112025,1322811,4001407,11955992,2,1384,7404,,,1,1,15.00,31/12/1999
032,112025,1322811,4001430,11951690,2,1313,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,4001431,11951693,2,1314,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,2001908,11955053,2,2283,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,2001929,11955071,2,848,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,2001934,11955080,2,1040,7404,,,1,1,45.00,31/12/1999
032,112025,1322811,2001635,11954936,2,1893,7403,,,1,1,10.00,31/12/1999
032,112025,1322811,2001121,11954726,2,2160,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,2000600,11954540,2,722,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,4001473,114229793,2,1375,7404,,,1,1,5.00,31/12/2024
032,112025,1322811,4001492,11951873,2,1409,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,4001515,11951942,2,1457,7405,,,1,1,10.00,31/12/1999
032,112025,1322811,4001557,11952056,2,1522,7405,,,1,1,10.00,31/12/1999
032,112025,1322811,1016818,11954300,2,96,7404,,,1,1,25.00,31/12/1999
032,112025,1322811,1012612,11953940,2,2612,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1002340,11953670,2,2503,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,1002353,11953682,2,2516,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1002542,11953730,2,2542,7404,,,1,1,150.00,31/12/1999
032,112025,1322811,1002279,11953613,2,2441,7404,,,1,1,75.00,01/04/2003
032,112025,1322811,1001957,11953304,2,2290,7403,,,1,1,15.00,31/12/1999
032,112025,1322811,1002068,11953418,2,5055,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1002069,11953421,2,5056,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1002070,11953424,2,5057,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1002001,11953355,2,1319,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1001986,11953340,2,919,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1001983,11953334,2,812,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1001726,11952914,2,2015,7404,,,1,1,75.00,01/07/1999
032,112025,1322811,1001833,11953118,2,2005,7404,,,1,1,10.00,01/04/2001
032,112025,1322811,1001835,11953121,2,2240,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1001636,11952710,2,1894,7403,,,1,1,10.00,31/12/1999
032,112025,1322811,1001660,11952758,2,1921,16303,,,1,1,3.00,31/12/1999
032,112025,1322811,1001419,11952296,2,1655,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1001354,11952158,2,1580,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1001302,11966573,2,2945,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1001269,11966342,2,2914,7405,,,1,1,15.00,31/12/1999
032,112025,1322811,1001182,11965943,2,2832,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1001127,11965775,2,531,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1001142,11965811,2,2776,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,1001071,11951576,2,1248,7405,,,1,1,5.00,31/12/1999
032,112025,1322811,1001001,11951429,2,1174,7404,,,1,1,10.00,31/12/1999
032,112025,1322811,1000900,11951222,2,1064,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1000904,11951231,2,1068,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000832,11951072,2,983,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1000596,11950634,2,718,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000597,11950637,2,719,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000654,11950724,2,782,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000656,11950730,2,784,7404,,,1,1,3.00,31/12/1999
032,112025,1322811,1000765,11950937,2,905,7405,,,1,1,75.00,31/12/1999
032,112025,1322811,1000795,11951000,2,939,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1000590,11950616,2,711,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000339,11950193,2,419,7405,,,1,1,3.00,31/12/1999
032,112025,1322811,1000305,11950124,2,376,7404,,,1,1,5.00,31/12/1999
032,112025,1322811,1000066,11949689,2,77,7404,,,1,1,45.00,01/07/1996
032,112025,1322811,1000088,11949725,2,106,7405,,,1,1,10.00,31/12/1999
032,112025,1322811,1000075,11949704,2,89,7404,,,1,1,15.00,31/12/1999
032,112025,1322811,1000058,11949674,2,69,7405,,,1,1,35.00,31/12/1999
032,112025,1322811,103862,114025780,2,5087,7404,,,1,1,25.00,31/12/2024
