032,112025,10000101,100001,56344109,1,916,8409,0,1,2
032,112025,10000301,100003,56344309,1,916,8409,0,1,2
032,112025,10000501,100005,56344509,1,42619989,7404,0,1,2
032,112025,10000601,100006,56344609,1,916,8409,0,1,2
032,112025,10000701,100007,56344709,1,916,8409,0,1,2
032,112025,10000801,100008,56344809,1,916,8409,0,1,2
032,112025,10000901,100009,56344909,1,916,8409,0,1,2
032,112025,10001101,100011,56345109,1,916,8409,0,1,2
032,112025,10001201,100012,56345209,1,916,8409,0,1,2
032,112025,10001301,100013,56345309,1,916,8409,0,1,2
032,112025,10001401,100014,56345409,1,916,8409,0,1,2
032,112025,10001501,100015,56345509,1,916,8409,0,1,2
032,112025,10001701,100017,56345709,1,916,8409,0,1,2
032,112025,10001801,100018,56345809,1,916,8409,0,1,2
032,112025,10001901,100019,56345909,1,916,8409,0,1,2
032,112025,10002001,100020,56346009,1,916,8409,0,1,2
032,112025,10002101,100021,56346109,1,916,8409,0,1,2
032,112025,10002201,100022,56346209,1,916,8409,0,1,2
032,112025,10002301,100023,56346309,1,916,8409,0,1,2
032,112025,10002401,100024,56346409,1,916,8409,0,1,2
032,112025,10002601,100026,56346609,1,916,8409,0,1,2
032,112025,10002801,100028,56346809,1,916,8409,0,1,2
032,112025,10002901,100029,56346909,1,916,8409,0,1,2
032,112025,10003101,100031,56347109,1,916,8409,0,1,2
032,112025,10003201,100032,56347209,1,916,8409,0,1,2
032,112025,10003301,100033,56347309,1,916,8409,0,1,2
032,112025,10003401,100034,56347409,1,916,8409,0,1,2
032,112025,10003501,100035,56347509,1,916,8409,0,1,2
032,112025,10003601,100036,56347609,1,916,8409,0,1,2
032,112025,10003701,100037,56347709,1,916,8409,0,1,2
032,112025,10003801,100038,56347809,1,916,8409,0,1,2
032,112025,10003901,100039,56347909,1,916,8409,0,1,2
032,112025,10004101,100041,56348109,1,916,8409,0,1,2
032,112025,10004201,100042,56348209,1,916,8409,0,1,2
032,112025,10004301,100043,56348309,1,916,8409,0,1,2
032,112025,10004401,100044,56348409,1,916,8409,0,1,2
032,112025,10004501,100045,56348509,1,916,8409,0,1,2
032,112025,10004601,100046,56348609,1,916,8409,0,1,2
032,112025,10004701,100047,56348709,1,916,8409,0,1,2
032,112025,10004801,100048,56348809,1,916,8409,0,1,2
032,112025,10005001,100050,56349009,1,916,8409,0,1,2
032,112025,10005101,100051,56349109,1,916,8409,0,1,2
032,112025,10005301,100053,56349309,1,916,8409,0,1,2
032,112025,10005501,100055,56349509,1,916,8409,0,1,2
032,112025,10005601,100056,56349609,1,916,8409,0,1,2
032,112025,10005701,100057,56349709,1,916,8409,0,1,2
032,112025,10006201,100062,56350209,1,916,8409,0,1,2
032,112025,10006401,100064,56350409,1,916,8409,0,1,2
032,112025,10006501,100065,56350509,1,916,8409,0,1,2
032,112025,10006801,100068,56350809,1,916,8409,0,1,2
032,112025,10006901,100069,56350909,1,916,8409,0,1,2
032,112025,10007001,100070,56351009,1,916,8409,0,1,2
032,112025,10007201,100072,56351209,1,916,8409,0,1,2
032,112025,10007401,100074,56351409,1,916,8409,0,1,2
032,112025,10007601,100076,56351609,1,916,8409,0,1,2
032,112025,10007701,100077,56351709,1,916,8409,0,1,2
032,112025,10007702,100077,56351709,1,916,8409,0,1,2
032,112025,10007703,100077,56351709,1,916,8409,0,1,2
032,112025,10007801,100078,56351809,1,916,8409,0,1,2
032,112025,10007901,100079,56351909,1,916,8409,0,1,2
032,112025,10008001,100080,56352009,1,916,8409,0,1,2
032,112025,10008101,100081,56352109,1,916,8409,0,1,2
032,112025,10008201,100082,56352209,1,916,8409,0,1,2
032,112025,10008401,100084,56352409,1,916,8409,0,1,2
032,112025,10008601,100086,56352609,1,916,8409,0,1,2
032,112025,10008701,100087,56352709,1,916,8409,0,1,2
032,112025,10008801,100088,56352809,1,916,8409,0,1,2
032,112025,10009001,100090,56353009,1,916,8409,0,1,2
032,112025,10009101,100091,56353109,1,916,8409,0,1,2
032,112025,10009201,100092,56353209,1,916,8409,0,1,2
032,112025,10009301,100093,56353309,1,916,8409,0,1,2
032,112025,10009401,100094,56353409,1,916,8409,0,1,2
032,112025,10009501,100095,56353509,1,916,8409,0,1,2
032,112025,10009601,100096,56353609,1,916,8409,0,1,2
032,112025,10009701,100097,56353709,1,916,8409,0,1,2
032,112025,10009801,100098,56353809,1,916,8409,0,1,2
032,112025,10009901,100099,56353909,1,916,8409,0,1,2
032,112025,10010001,100100,56354009,1,916,7404,0,1,2
032,112025,10010201,100102,56354209,1,916,7404,0,1,2
032,112025,10010401,100104,56354409,1,916,7404,0,1,2
032,112025,10010501,100105,56354509,1,916,7404,0,1,2
032,112025,10010601,100106,56354609,1,916,8409,0,1,2
032,112025,10010701,100107,56354709,1,916,8409,0,3,2
032,112025,10010801,100108,56354809,1,916,8409,0,1,2
032,112025,10010901,100109,56354909,1,916,8409,0,1,2
032,112025,10011001,100110,56355009,1,916,8409,0,1,2
032,112025,10011101,100111,56355109,1,916,8409,0,1,2
032,112025,10011301,100113,56355309,1,916,8409,0,1,2
032,112025,10011401,100114,56355409,1,916,7404,0,1,2
032,112025,10011601,100116,56355609,1,916,8409,0,1,2
032,112025,10011701,100117,56355709,1,916,8409,0,1,2
032,112025,10011801,100118,56355809,1,916,8409,0,1,2
032,112025,10011802,100118,56355809,1,916,8409,0,1,2
032,112025,10011803,100118,56355809,1,916,8409,0,1,2
032,112025,10011901,100119,56355909,1,916,8409,0,1,2
032,112025,10012101,100121,56356109,1,916,8409,0,1,2
