032,112025,1322758,1489,032307202510010005,1,21600
032,112025,1322758,101339,032307202510010005,1,21600
032,112025,1322758,102102,032307202510010005,1,21600
032,112025,1322758,1000021,032307202510010005,1,21600
032,112025,1322758,1000022,032307202510010005,1,21600
032,112025,1322758,1000568,032307202510010005,1,21600
032,112025,1322758,1001470,032307202510010005,1,21600
032,112025,1322758,2000823,032307202510010005,1,21600
032,112025,1322758,2001469,032307202510010005,1,21600
032,112025,1322811,1153,032307202510010003,2,2460
032,112025,1322811,1197,032307202510010003,2,2460
032,112025,1322811,1198,032307202510010003,2,2460
032,112025,1322811,1199,032307202510010003,2,2460
032,112025,1322811,1200,032307202510010003,1,1800
032,112025,1322811,1215,032307202510010003,2,2460
032,112025,1322811,1217,032307202510010003,2,2460
032,112025,1322811,1218,032307202510010003,2,2460
032,112025,1322811,1229,032307202510010003,2,2460
032,112025,1322811,1237,032307202510010003,1,1800
032,112025,1322811,1303,032307202510010003,1,1800
032,112025,1322811,1305,032307202510010003,2,2460
032,112025,1322811,1308,032307202510010003,1,1800
032,112025,1322811,1309,032307202510010003,1,1800
032,112025,1322811,1313,032307202510010003,1,1800
032,112025,1322811,1314,032307202510010003,1,1800
032,112025,1322811,1318,032307202510010003,1,1800
032,112025,1322811,1319,032307202510010003,2,2460
032,112025,1322811,1322,032307202510010003,2,2460
032,112025,1322811,1323,032307202510010003,1,1800
032,112025,1322811,1324,032307202510010003,2,2460
032,112025,1322811,1333,032307202510010003,1,1800
032,112025,1322811,1336,032307202510010003,1,1800
032,112025,1322811,1349,032307202510010003,2,2460
032,112025,1322811,1350,032307202510010003,1,1800
032,112025,1322811,1358,032307202510010003,1,1800
032,112025,1322811,1367,032307202510010003,1,1800
032,112025,1322811,1368,032307202510010003,1,1800
032,112025,1322811,1373,032307202510010003,2,2460
032,112025,1322811,1376,032307202510010003,2,2460
032,112025,1322811,1378,032307202510010003,2,2460
032,112025,1322811,1385,032307202510010003,1,1800
032,112025,1322811,1389,032307202510010003,2,2460
032,112025,1322811,1391,032307202510010003,2,2460
032,112025,1322811,1401,032307202510010003,1,1800
032,112025,1322811,1409,032307202510010003,1,1800
032,112025,1322811,1419,032307202510010003,2,2460
032,112025,1322811,1443,032307202510010003,1,1800
032,112025,1322811,1444,032307202510010003,1,1800
032,112025,1322811,1445,032307202510010003,1,1800
032,112025,1322811,1447,032307202510010003,3,8220
032,112025,1322811,1449,032307202510010003,1,1800
032,112025,1322811,1450,032307202510010003,2,2460
032,112025,1322811,1453,032307202510010003,2,2460
032,112025,1322811,1456,032307202510010003,2,2460
032,112025,1322811,1463,032307202510010003,1,1800
032,112025,1322811,1464,032307202510010003,2,2460
032,112025,1322811,1465,032307202510010003,1,1800
032,112025,1322811,1479,032307202510010003,1,1800
032,112025,1322811,1481,032307202510010003,1,1800
032,112025,1322811,1483,032307202510010003,2,2460
032,112025,1322811,1484,032307202510010003,2,2460
032,112025,1322811,1487,032307202510010003,2,2460
032,112025,1322811,1494,032307202510010003,1,1800
032,112025,1322811,1495,032307202510010003,1,1800
032,112025,1322811,1506,032307202510010003,2,2460
032,112025,1322811,1515,032307202510010003,2,2460
032,112025,1322811,1517,032307202510010003,2,2460
032,112025,1322811,1518,032307202510010003,2,2460
032,112025,1322811,1526,032307202510010003,2,2460
032,112025,1322811,1533,032307202510010003,2,2460
032,112025,1322811,1539,032307202510010003,1,1800
032,112025,1322811,1540,032307202510010003,1,1800
032,112025,1322811,1541,032307202510010003,1,1800
032,112025,1322811,1562,032307202510010003,2,2460
032,112025,1322811,1563,032307202510010003,2,2460
032,112025,1322811,1567,032307202510010003,2,2460
032,112025,1322811,1571,032307202510010003,1,1800
032,112025,1322811,1575,032307202510010003,2,2460
032,112025,1322811,1592,032307202510010003,2,2460
032,112025,1322811,1593,032307202510010003,2,2460
032,112025,1322811,1598,032307202510010003,2,2460
032,112025,1322811,1599,032307202510010003,2,2460
032,112025,1322811,1604,032307202510010003,2,2460
032,112025,1322811,1614,032307202510010003,2,2460
032,112025,1322811,1619,032307202510010003,1,1800
032,112025,1322811,1630,032307202510010003,2,2460
032,112025,1322811,1634,032307202510010003,1,1800
032,112025,1322811,1635,032307202510010003,3,8220
032,112025,1322811,1639,032307202510010003,1,1800
032,112025,1322811,1642,032307202510010003,2,2460
