032,3270797,112025,600
032,3271352,112025,1836
032,3271389,112025,1841
032,3271833,112025,1863
032,3272055,112025,1873
032,3272166,112025,1882
032,3272425,112025,1894
032,3272536,112025,1901
032,3274312,112025,1964
032,3274386,112025,1970
032,3274534,112025,1975
032,3274571,112025,1976
032,3275126,112025,2015
032,3275163,112025,2016
032,3277013,112025,2161
032,3277235,112025,2212
032,3277272,112025,2218
032,3277679,112025,395
032,3277716,112025,1049
032,3277753,112025,2005
032,3277790,112025,2240
032,3277864,112025,2238
032,3278974,112025,2207
032,3279381,112025,2285
032,3279418,112025,2286
032,3279640,112025,606
032,3280047,112025,1585
032,3280121,112025,2288
032,3280195,112025,2290
032,3280639,112025,99
032,3280676,112025,919
032,3280861,112025,2003
032,3280898,112025,394
032,3280935,112025,1415
032,3281046,112025,1319
032,3281083,112025,5091
032,3281120,112025,1017
032,3281157,112025,1006
032,3281305,112025,1392
032,3281379,112025,95
032,3281934,112025,5050
032,3281971,112025,5055
032,3282008,112025,5056
032,3282045,112025,5057
032,3282082,112025,5058
032,3282193,112025,1220
032,3282267,112025,5067
032,3283858,112025,2322
032,3283969,112025,2337
032,3284117,112025,2368
032,3284709,112025,2439
032,3284783,112025,2441
032,3284820,112025,2442
032,3284857,112025,2444
032,3284968,112025,2452
032,3285301,112025,2487
032,3285338,112025,2498
032,3285486,112025,2503
032,3285523,112025,2504
032,3285782,112025,2523
032,3285930,112025,1897
032,3286115,112025,2536
032,3286263,112025,2542
032,3286300,112025,2543
032,3286633,112025,2556
032,3286707,112025,2558
032,3286744,112025,2559
032,3286781,112025,2560
032,3286818,112025,2563
032,3286855,112025,2564
032,3286892,112025,2566
032,3286929,112025,2567
032,3287077,112025,2576
032,3287114,112025,2585
032,3287151,112025,2345
032,3287188,112025,2347
032,3287780,112025,1057
032,3288224,112025,2094
032,3288261,112025,2095
032,3288668,112025,2528
032,3288890,112025,2587
032,3288964,112025,2589
032,3289001,112025,2590
032,3289149,112025,2612
032,3289186,112025,2613
032,3289852,112025,2635
032,3289963,112025,2639
032,3290000,112025,2640
032,3290185,112025,2648
032,3290333,112025,2653
032,3290592,112025,5001
032,3290925,112025,64
032,3291443,112025,2597
032,3291554,112025,2595
032,3291813,112025,2608
032,3291887,112025,2363
032,3291998,112025,107
032,3292479,112025,1706
032,3292960,112025,2359
032,3293219,112025,2526
032,3293515,112025,2586
032,3293589,112025,2601
032,3293663,112025,367
032,3294033,112025,5052
032,3294070,112025,5053
032,3294144,112025,5089
032,3294255,112025,932
032,3294329,112025,96
032,3294440,112025,1810
032,3294662,112025,76
032,3294699,112025,80
032,3294773,112025,98
032,3294884,112025,110
032,3295587,112025,5049
032,3296142,112025,345
032,3296438,112025,411
032,3296475,112025,413
032,3296808,112025,1459
032,3297548,112025,574
032,3298547,112025,747
032,3298621,112025,758
032,3299287,112025,866
032,3299361,112025,870
032,3299657,112025,1145
032,3299731,112025,955
032,3299768,112025,960
032,3300064,112025,1066
032,3300286,112025,1100
032,3300323,112025,1345
032,3300360,112025,1117
032,3300397,112025,1098
032,3300434,112025,1126
032,3300508,112025,1130
032,3300582,112025,1142
032,3300619,112025,1160
032,3300656,112025,1168
032,3300915,112025,1214
032,3301174,112025,1111
032,3301470,112025,1386
032,3301840,112025,1454
032,3302136,112025,1531
032,3302284,112025,1553
032,3302321,112025,1554
032,3302358,112025,1592
032,3302580,112025,1646
032,3302617,112025,1652
032,3302654,112025,1654
032,3302728,112025,1673
032,3302765,112025,1674
032,3302802,112025,1680
032,3302839,112025,1688
032,3303024,112025,1708
032,3303616,112025,1812
032,3303690,112025,1835
032,3304134,112025,1893
032,3305022,112025,1447
032,3305133,112025,742
032,3305577,112025,500
032,3305614,112025,2178
032,3305725,112025,2283
032,3306058,112025,1040
032,3306243,112025,1877
032,3306539,112025,60
032,3306576,112025,181
032,3306613,112025,1053
032,3306650,112025,81
032,3306724,112025,52
032,3307575,112025,5051
032,3307649,112025,2149
032,3307723,112025,97
032,3307760,112025,1211
032,3309573,112025,2443
032,3309721,112025,2453
032,3309832,112025,2505
032,3310202,112025,2561
032,3310239,112025,2562
032,3310276,112025,2565
032,3310313,112025,2346
032,3310350,112025,2348
032,3310387,112025,2349
032,3310498,112025,1838
032,3310646,112025,1205
032,3310831,112025,2150
032,3311053,112025,2591
032,3311090,112025,2642
032,3311164,112025,2652
032,3311201,112025,5005
032,3311275,112025,2436
032,3311312,112025,2435
032,3311497,112025,2514
032,3311571,112025,2277
032,3311793,112025,2592
032,3311867,112025,1039
032,3311904,112025,109
032,3311941,112025,1497
032,3311978,112025,1870
032,3312348,112025,5012
032,3312496,112025,5026
032,3312607,112025,53
032,3312681,112025,855
032,3312977,112025,1118
032,3313199,112025,2666
032,3313273,112025,2667
032,3313569,112025,2682
032,3314531,112025,2698
032,3314679,112025,2719
032,3314716,112025,2712
032,3314753,112025,2722
032,3314827,112025,2711
032,3314864,112025,2724
032,3314901,112025,2723
032,3314938,112025,2730
032,3314975,112025,2717
032,3315382,112025,2725
032,3315789,112025,2741
