032,112025,1323327,5482,5482,7405,0,0
032,112025,1324618,5482,5482,7405,0,0
032,112025,1324796,5482,5482,7405,0,0
032,112025,1326253,5482,5482,7405,0,0
032,112025,1327618,5482,5482,7405,0,0
032,112025,1327718,5482,5482,7405,0,0
032,112025,1329253,5672,5672,16301,0,0
032,112025,1329497,5675,5675,16303,0,0
032,112025,1329607,5672,5672,16301,0,0
032,112025,1329607,5677,5677,16303,0,0
032,112025,1329648,5678,5678,16301,0,0
032,112025,1330760,5683,5683,7403,0,0
032,112025,1331041,5482,5482,7405,0,0
032,112025,1331283,5684,5684,7404,0,0
032,112025,1331326,5684,5684,7404,0,0
032,112025,1331926,5672,5672,16301,0,0
032,112025,1331984,5672,5672,16301,0,0
032,112025,1332380,5672,5672,16301,0,0
032,112025,1332465,5482,5482,7405,0,0
032,112025,1332721,5672,5672,16301,0,0
032,112025,1333252,5482,5482,7405,0,0
032,112025,1333644,5672,5672,16301,0,0
032,112025,1333863,5672,5672,16301,0,0
032,112025,1333919,5672,5672,16301,0,0
032,112025,1333959,5482,5482,7405,0,0
032,112025,1334169,5705,5705,7404,0,0
032,112025,1334169,5706,5706,7404,0,0
032,112025,1334240,5672,5672,16301,0,0
032,112025,1334294,5482,5482,7405,0,0
032,112025,1334587,5672,5672,16301,0,0
032,112025,1334662,5712,5712,7403,0,0
032,112025,1335739,5482,5482,7405,0,0
032,112025,1335865,5672,5672,16301,0,0
