032,112025,1322758,3,032307202510010005,1,70.00,0.00,0.00
032,112025,1322811,1,032307202510010003,1,8113.00,0.00,0.00
032,112025,1322811,1,032307202510010003,2,8677.00,0.00,0.00
032,112025,1322811,1,032307202510010003,3,460.00,0.00,0.00
032,112025,1323218,5,032307202510010006,1,3.00,0.00,0.00
032,112025,1323327,2,032307202510010008,1,3.00,0.00,0.00
032,112025,1323374,3,032307202510020009,1,20.00,0.00,0.00
032,112025,1323393,4,032307202510020003,1,25.00,0.00,0.00
032,112025,1323411,4,032307202510020005,1,45.00,0.00,0.00
032,112025,1323429,6,032307202510020007,1,426.00,0.00,0.00
032,112025,1323724,5,032307202510020011,1,13.00,0.00,0.00
032,112025,1323724,5,032307202510020011,2,3.00,0.00,0.00
032,112025,1323904,1,032307202510020010,1,653.00,0.00,0.00
032,112025,1323937,1,032307202510030001,1,360.00,0.00,0.00
032,112025,1323944,5,032307202510030002,1,66.00,0.00,0.00
032,112025,1323944,5,032307202510030002,2,9.00,0.00,0.00
032,112025,1323944,5,032307202510030002,3,301.00,0.00,0.00
032,112025,1324051,1,032307202510030006,1,64.00,0.00,0.00
032,112025,1324150,5,032307202510030013,1,13.00,0.00,0.00
032,112025,1324201,1,032307202510030015,1,30.00,0.00,0.00
032,112025,1324386,3,032307202510040012,1,1477.00,0.00,0.00
032,112025,1324386,3,032307202510040012,2,2496.00,0.00,0.00
032,112025,1324386,3,032307202510040012,3,415.00,0.00,0.00
032,112025,1324395,1,032307202510040004,1,191.00,0.00,0.00
032,112025,1324488,5,032307202510040001,1,25.00,0.00,0.00
032,112025,1324531,1,032307202510040006,1,236.00,0.00,0.00
032,112025,1324618,2,032307202510040009,1,1816.00,0.00,0.00
032,112025,1324744,1,032307202510040013,1,1381.00,0.00,0.00
032,112025,1324744,1,032307202510040013,2,48.00,0.00,0.00
032,112025,1324796,2,032307202510040014,1,25.00,0.00,0.00
032,112025,1324821,6,032307202510050001,1,5.00,0.00,0.00
032,112025,1324870,1,032307202510050002,1,150.00,0.00,0.00
032,112025,1324901,1,032307202510050005,1,16.00,0.00,0.00
032,112025,1324917,4,032307202510050004,1,40.00,0.00,0.00
032,112025,1324918,5,032307202510050007,1,10.00,0.00,0.00
032,112025,1324947,1,032307202510050008,1,25.00,0.00,0.00
032,112025,1324958,1,032307202510050006,1,563.00,0.00,0.00
032,112025,1325697,1,032307202510060008,1,30.00,0.00,0.00
032,112025,1325889,1,032307202510070003,1,293.00,0.00,0.00
032,112025,1325962,6,032307202510070013,1,8.00,0.00,0.00
032,112025,1326043,4,032307202510070016,1,33.00,0.00,0.00
032,112025,1326253,2,032307202510070014,1,150.00,0.00,0.00
032,112025,1326274,3,032307202510070015,1,2.00,0.00,0.00
032,112025,1326297,1,032307202510080001,1,1176.00,0.00,0.00
032,112025,1326511,1,032307202510080009,1,5.00,0.00,0.00
032,112025,1326860,3,032307202510090003,1,314.00,0.00,0.00
032,112025,1327348,5,032307202510100003,1,15.00,0.00,0.00
